id;intitule;description
1;Informatique;Étude des systèmes informatiques, du développement logiciel et des réseaux.
2;Médecine;Science dédiée à la santé humaine, au diagnostic et au traitement des maladies.
3;Droit;Étude des lois, de la justice et des systèmes juridiques.
4;Économie;Analyse de la production, de la consommation et de la distribution des richesses.
5;Gestion;Management des organisations, des ressources humaines et financières.
6;Agriculture;Science et techniques liées à la production végétale et animale.
7;Électronique;Étude des composants, circuits et systèmes électroniques.
8;Génie civil;Conception et construction d’infrastructures (routes, bâtiments, ponts).
9;Communication;Étude des médias, des relations publiques et du journalisme.
10;Finance;Gestion des flux monétaires, des investissements et des marchés financiers.
11;Tourisme;Secteur lié aux voyages, à l’hébergement et à la découverte culturelle.
12;Sociologie;Étude des relations humaines et des structures sociales.
13;Architecture;Art et science de la conception de bâtiments et d’espaces.
14;Mathématiques;Science des nombres, des structures et des calculs logiques.
15;Chimie;Science des substances, de leur composition et de leurs réactions.
16;Biologie;Étude du vivant, des organismes et de leurs interactions.
17;Marketing;Stratégies de mise en marché, de publicité et de vente.
18;Langues étrangères;Apprentissage et maîtrise des langues autres que la langue maternelle.
19;Hôtellerie;Gestion des services d’hébergement et de restauration.
20;Environnement;Étude et gestion des ressources naturelles et de la durabilité.
