id;nom;presentation;secteur_activite;logo_url;adresse;site_web;email_contact;telephone;ville_id
1;Université Cheikh Anta Diop;Grande université publique sénégalaise formant des milliers d'étudiants chaque année.;Enseignement supérieur;https://ucad.sn/logo.png;Avenue Cheikh Anta Diop, Dakar;https://www.ucad.sn;contact@ucad.sn;+221338250600;1
2;Sonatel;Opérateur historique des télécommunications au Sénégal, filiale d'Orange.;Télécommunications;https://www.sonatel.sn/logo.png;46 Boulevard de la République, Dakar;https://www.sonatel.sn;infos@sonatel.sn;+221339399000;1
3;Université Gaston Berger;Deuxième grande université publique du Sénégal, basée à Saint-Louis.;Enseignement supérieur;https://ugb.sn/logo.png;Sanar, Saint-Louis;https://www.ugb.sn;contact@ugb.sn;+221339610000;10
4;CBAO Groupe Attijariwafa Bank;Banque commerciale majeure au Sénégal, filiale du groupe marocain.;Banque;https://www.cbao.sn/logo.png;Avenue Lamine Guèye, Dakar;https://www.cbao.sn;serviceclient@cbao.sn;+221338498000;1
5;Supdeco Dakar;École supérieure privée de commerce et de gestion.;Éducation privée;https://www.supdeco.sn/logo.png;Sacré-Cœur 3, VDN, Dakar;https://www.supdeco.sn;admissions@supdeco.sn;+221338698000;1
6;Société Africaine de Raffinage (SAR);Raffinerie pétrolière nationale située à Mbao.;Énergie;https://www.sar.sn/logo.png;Zone industrielle de Mbao, Dakar;https://www.sar.sn;contact@sar.sn;+221338382000;3
7;Université Assane Seck de Ziguinchor;Université publique dans le sud du Sénégal.;Enseignement supérieur;https://uasz.sn/logo.png;BP 523 Ziguinchor;https://www.uasz.sn;contact@uasz.sn;+221339913300;20
8;Société Nationale des Eaux du Sénégal (SONES);Société chargée de la production et de la distribution d'eau.;Hydraulique;https://www.sones.sn/logo.png;Rue Carnot x Amadou Assane Ndoye, Dakar;https://www.sones.sn;infos@sones.sn;+221338899900;1
9;Université Alioune Diop de Bambey;Université publique spécialisée en science, technologie et développement.;Enseignement supérieur;https://uadb.edu.sn/logo.png;Bambey, Diourbel;https://www.uadb.edu.sn;contact@uadb.edu.sn;+221339671700;6
10;Société Générale Sénégal;Institution bancaire internationale opérant au Sénégal.;Banque;https://www.sg.sn/logo.png;19 Avenue Léopold Sédar Senghor, Dakar;https://www.sg.sn;serviceclient@sg.sn;+221338398000;1
